article_id,sentence_index,sentence,sentiment,gold_label,pred_label
18,7,"""This allegation concerning this lady, this young girl, absolutely has no merit, these are unfounded accusations, totally,"" he said.",-0.1815,0,1
18,9,"""I cannot handle it any longer .",0.0,1,0
18,12,KCIP found that Johnson's claim that he had brought a dead woman back to life while serving as a missionary in South America was based on a letter written by another preacher who admitted he hadn't seen the supposed miracle and only heard about it.,-0.0258,0,1
18,13,"And while the Kentucky reporters found records that placed Johnson in New York City on or around 9/11, it's unlikely he watched a plane crash into one of the Twin Towers from ""The New Yorker Hotel,"" as he claimed on the web site.",-0.4019,0,1
18,15,"It's about three miles north of Ground Zero, in Midtown Manhattan.",0.0,1,0
18,16,"Before his suicide, Johnson made national news during his campaign for posting racist remarks online about former President Barack Obama and Michelle Obama.",-0.8591,1,0
18,17,That didn't stop him from getting elected last year in an overwhelmingly white and conservative corner of Kentucky.,0.0997,1,0
18,18,"Johnson claimed to have a ""doctorate of divinity"" from a Des Moines, Iowa, bible school.",0.5719,0,1
35,0,"The wife of Kentucky State Rep. Dan Johnson, who killed himself on Wednesday amid a bombshell report's accusations of sexual assault, announced Thursday that she would pursue her husband's seat, saying ""his fight will go on.""",-0.9217,1,0
35,1,"Dan Johnson, a preacher and a Republican, committed suicide Wednesday on a bridge in Mt.",-0.5267,1,0
35,5,"""Dan is gone but the story of his life is far from over,"" she said.",0.0,1,0
35,7,"The lawmaker denied the accusations on Tuesday, calling them ""totally false.""",-0.6369,1,0
35,8,"He said they were part of a nationwide strategy for defeating conservative Republicans, referencing claims also made against Republican Alabama Senate candidate Roy Moore.",-0.3818,0,1
35,11,"It has won this life, BUT HEAVEN IS MY HOME.""",0.836,1,0
35,13,"The woman who made the accusations against Dan Johnson, Maranda Richmond, said she attended a New Year's Eve party at his house in 2012.",0.1027,1,0
35,15,Richmond said that she reported the episode but Louisville police closed the case without charges.,0.3007,1,0
35,17,"Johnson was elected to the State Legislature in 2016, part of a wave of Republican victories that gave the GOP control of the Kentucky House of Representatives for the first time in nearly 100 years.",0.0,1,0
40,0,"""Dan is gone,"" says Rebecca Johnson, wife of deceased Kentucky state rep Dan Johnson, ""but the story of his life is far from over.""",0.0,0,1
40,1,Rep. Dan Johnson took his life on a bridge in Mt.,0.0,1,0
40,4,RELATED: An investigation into a state lawmaker accused of child molestation has ended with a single gunshot,-0.6249,1,0
40,6,An investigation by the Kentucky Center for Investigative Reporting found that a case to the allegations was closed.,0.0,0,1
40,7,"Following their report and an on-the-record interview with alleged victim Maranda Richmond, who is now 21, police reopened the case.",-0.2732,0,1
40,8,No charges were filed before Johnson took his life.,-0.5106,0,1
40,9,"""These high-tech lynchings based on lies and half-truths can't be allowed to win the day,"" said Rebecca Johnson, who stood by her husband's side as he dismissed the molestation allegations in a press conference on Tuesday.",-0.2263,0,1
40,10,"That press conference saw Rep. Johnson say he was ""mad as can be"" about the charges, which he said were made into ""political stones and political rocks.""",-0.6486,1,0
40,11,"He said the allegations against him were ""something that's totally false.""",0.0,0,1
40,12,"Rebecca Johnson says she has stood by her husband's side for 30 years and plans to continue his ""fight.""",0.0,0,1
40,15,"All of us at Louisville Public Media are deeply sad to hear that State Representative Dan Johnson has died, apparently of suicide.",-0.9099,0,1
45,0,"Tillerson Makes A N. Korea Overture, But It Highlights His Credibility Problem",-0.5499,0,1
45,7,"""We can talk about the weather if you want,"" Tillerson said, in his overture to North Korea.",0.0,0,1
45,14,"He says this is just posturing from Tillerson because the U.S. can't effectively say it wants to talk when its goal is complete, verifiable denuclearization by North Korea.",-0.3412,0,1
45,19,"""It really depends whether North Korea stops testing and comes to the bargaining table to talk, or they continue to test and [show they're] not going to engage in any talks at this time,"" Kim says.",-0.3891,0,1
